sample,input_read_num,mapped_read_num,prop_mapped
mel_F_rep1_TR1,441823,296504,0.671092
mel_F_rep1_TR2,6629324,4462881,0.673203
mel_F_rep1_TR3,5489736,3769703,0.686682
mel_F_rep1_TR4,1923351,1260580,0.655408
mel_F_rep2_TR1,404430,264777,0.654692
mel_F_rep2_TR2,7522280,4956771,0.658945
mel_F_rep2_TR3,5214900,3517388,0.674488
mel_F_rep2_TR4,2956744,1942784,0.657069
mel_F_rep3_TR1,284202,195055,0.686325
mel_F_rep3_TR2,5315120,3717627,0.699444
mel_F_rep3_TR3,6952965,4947289,0.711537
mel_F_rep3_TR4,3436888,2366002,0.688414
mel_F_rep4_TR1,426460,398640,0.934765
mel_F_rep4_TR2,6834895,6479996,0.948075
mel_F_rep4_TR3,7995717,7558863,0.945364
mel_F_rep4_TR4,6566511,6220593,0.947321
mel_F_rep4_TR5,5421483,5186442,0.956646
mel_F_rep5_TR1,305411,290801,0.952163
mel_F_rep5_TR2,7720460,7429542,0.962319
mel_F_rep5_TR3,9585125,9205612,0.960406
mel_F_rep5_TR4,6563495,6311191,0.96156
mel_F_rep5_TR5,4680137,4531512,0.968243
mel_F_rep6_TR1,283481,263943,0.931078
mel_F_rep6_TR2,5190863,4896160,0.943227
mel_F_rep6_TR3,5881141,5535009,0.941145
mel_F_rep6_TR4,4796901,4523351,0.942974
mel_F_rep6_TR5,3839749,3658868,0.952892
mel_M_rep1_TR1,327418,197487,0.603165
mel_M_rep1_TR2,3343541,2053708,0.614231
mel_M_rep1_TR3,3603746,2224553,0.617289
mel_M_rep1_TR4,2518814,1626111,0.645586
mel_M_rep2_TR1,346085,223934,0.647049
mel_M_rep2_TR2,8514059,5556303,0.652603
mel_M_rep2_TR3,9257981,6118957,0.660939
mel_M_rep2_TR4,4812413,3090743,0.642244
mel_M_rep3_TR1,357471,207451,0.58033
mel_M_rep3_TR2,3074594,1757963,0.571771
mel_M_rep3_TR3,3928222,2246734,0.571947
mel_M_rep3_TR4,2568972,1493324,0.581292
mel_M_rep4_TR1,362188,331494,0.915254
mel_M_rep4_TR2,5361637,5023938,0.937016
mel_M_rep4_TR3,7805054,7283500,0.933177
mel_M_rep4_TR4,6159204,5756924,0.934686
mel_M_rep4_TR5,4590738,4338491,0.945053
mel_M_rep5_TR1,316443,299851,0.947567
mel_M_rep5_TR2,2665928,2550955,0.956873
mel_M_rep5_TR3,4103355,3918196,0.954876
mel_M_rep5_TR4,3303486,3156153,0.955401
mel_M_rep5_TR5,1976779,1904773,0.963574
mel_M_rep6_TR1,323493,302354,0.934654
mel_M_rep6_TR2,7098813,6720245,0.946672
mel_M_rep6_TR3,7959071,7512616,0.943906
mel_M_rep6_TR4,7001180,6619422,0.945472
mel_M_rep6_TR5,5727965,5468001,0.954615
,,,
Total:,230072242,192172065,
