sampleID,numMappedRead,numXLOCRead,numNonXLOCRead,pctXLOCRead,numGene,numXLOCGene,numNonXLOCGene
mel_F_rep1_TR1,296504,22563,273941,0.076,15379,6577,8802
mel_F_rep1_TR2,4462881,304863,4158018,0.0683,37253,25142,12111
mel_F_rep1_TR3,3769703,256987,3512716,0.0681,35469,23488,11981
mel_F_rep1_TR4,1260580,88267,1172313,0.07,25510,14875,10635
mel_F_rep2_TR1,264777,20112,244665,0.0759,14600,6069,8531
mel_F_rep2_TR2,4956771,339269,4617502,0.0684,37305,25044,12261
mel_F_rep2_TR3,3517388,240796,3276592,0.0684,34362,22420,11942
mel_F_rep2_TR4,1942784,133617,1809167,0.0687,29086,18025,11061
mel_F_rep3_TR1,195055,17020,178035,0.0872,13202,5344,7858
mel_F_rep3_TR2,3717627,299799,3417828,0.0806,36548,24759,11789
mel_F_rep3_TR3,4947289,395848,4551441,0.08,38885,26668,12217
mel_F_rep3_TR4,2366002,194513,2171489,0.0822,32218,21001,11217
mel_F_rep4_TR1,398640,33810,364830,0.0848,16053,7019,9034
mel_F_rep4_TR2,6479996,434143,6045853,0.0669,31975,19506,12469
mel_F_rep4_TR3,7558863,488426,7070437,0.0646,32514,19866,12648
mel_F_rep4_TR4,6220593,405347,5815246,0.0651,31676,19266,12410
mel_F_rep4_TR5,5186442,333412,4853030,0.0642,30433,18141,12292
mel_F_rep5_TR1,290801,23052,267749,0.0792,14154,5653,8501
mel_F_rep5_TR2,7429542,463377,6966165,0.0623,30508,17929,12579
mel_F_rep5_TR3,9205612,556390,8649222,0.0604,30898,18170,12728
mel_F_rep5_TR4,6311191,381730,5929461,0.0604,29921,17501,12420
mel_F_rep5_TR5,4531512,271415,4260097,0.0598,28307,16098,12209
mel_F_rep6_TR1,263943,21428,242515,0.0811,13830,5461,8369
mel_F_rep6_TR2,4896160,319575,4576585,0.0652,30896,18755,12141
mel_F_rep6_TR3,5535009,349509,5185500,0.0631,31475,19177,12298
mel_F_rep6_TR4,4523351,287358,4235993,0.0635,30505,18432,12073
mel_F_rep6_TR5,3658868,228366,3430502,0.0624,29136,17214,11922
mel_M_rep1_TR1,197487,17829,179658,0.0902,14012,5750,8262
mel_M_rep1_TR2,2053708,174683,1879025,0.085,32750,21403,11347
mel_M_rep1_TR3,2224553,190526,2034027,0.0856,33534,22013,11521
mel_M_rep1_TR4,1626111,136980,1489131,0.0842,30611,19573,11038
mel_M_rep2_TR1,223934,21211,202723,0.0947,16080,7291,8789
mel_M_rep2_TR2,5556303,481488,5074815,0.0866,42694,29697,12997
mel_M_rep2_TR3,6118957,537822,5581135,0.0878,42789,29596,13193
mel_M_rep2_TR4,3090743,266976,2823767,0.0863,37986,25742,12244
mel_M_rep3_TR1,207451,17346,190105,0.0836,14022,5779,8243
mel_M_rep3_TR2,1757963,140291,1617672,0.0798,31651,20481,11170
mel_M_rep3_TR3,2246734,181118,2065616,0.0806,34438,22958,11480
mel_M_rep3_TR4,1493324,118468,1374856,0.0793,29712,18822,10890
mel_M_rep4_TR1,331494,29759,301735,0.0897,16876,7607,9269
mel_M_rep4_TR2,5023938,369060,4654878,0.0734,32503,19897,12606
mel_M_rep4_TR3,7283500,525005,6758495,0.072,33692,20743,12949
mel_M_rep4_TR4,5756924,415798,5341126,0.0722,32946,20247,12699
mel_M_rep4_TR5,4338491,311826,4026665,0.0718,31251,18726,12525
mel_M_rep5_TR1,299851,28805,271046,0.096,16544,7437,9107
mel_M_rep5_TR2,2550955,200602,2350353,0.0786,28468,16504,11964
mel_M_rep5_TR3,3918196,300589,3617607,0.0767,30539,18119,12420
mel_M_rep5_TR4,3156153,243552,2912601,0.0771,29586,17377,12209
mel_M_rep5_TR5,1904773,145793,1758980,0.0765,27013,15325,11688
mel_M_rep6_TR1,302354,26776,275578,0.0885,16275,7107,9168
mel_M_rep6_TR2,6720245,495810,6224435,0.0737,32913,19902,13011
mel_M_rep6_TR3,7512616,540590,6972026,0.0719,33444,20365,13079
mel_M_rep6_TR4,6619422,478067,6141355,0.0722,33020,20072,12948
mel_M_rep6_TR5,5468001,394641,5073360,0.0721,31688,18824,12864
,,,,,,,
Total:,192172065,13702403,178469662,,,,
