sampleID,sex,total_reads,reads_gt_1kb,reads_gt_2kb,reads_gt_3kb,perc_reads_gt_1kb,perc_reads_gt_2kb,perc_reads_gt_3kb,average_length,median_length,min_length,max_length,q25_length,q75_length,reads_lt_1kb,reads_1kb_to_2kb,reads_2kb_to_3kb,reads_lt_1kb_perc,reads_1kb_to_2kb_perc,reads_2kb_to_3kb_perc,reads_gt_3kb_perc,perc_FSM,perc_ISM,perc_NIC,perc_NNC
mel_F_rep1,F,9789668,619207,33437,2940,6.325107245720693,0.3415539730254386,0.030031662,420.98243607444095,332,80,6850,190,541,9170461,585770,30497,93.67489275,5.983553272695254,0.3115223110732662,0.030031662,40.49853376028686,44.05699968579118,2.5113109045168844,1.8636893508543904
mel_F_rep2,F,10681720,801604,43517,3912,7.504446849383807,0.4073969360739656,0.036623315,448.00684150118144,351,80,6864,200,574,9880116,758087,39605,92.49555315,7.097049913309841,0.3707736207277479,0.036623315,40.81556154,43.55807866148898,2.4589111116936224,1.9112090562194104
mel_F_rep3,F,11225973,693000,36857,3091,6.173184275429844,0.3283189795664037,0.027534362,410.6821721377737,314,80,8109,174,534,10532973,656143,33766,93.82681572457015,5.844865295863441,0.3007846179569468,0.027534362,37.87770556725907,45.49008803067672,2.520307148431588,1.853781404961512
mel_M_rep1,M,6101859,267047,15768,1646,4.376485920110576,0.2584130508423744,0.026975386,361.0359751,268,80,7621,162,455,5834812,251279,14122,95.62351407988945,4.118072869268201,0.2314376651443437,0.026975386,39.95072649171343,43.30259024339959,2.429276061606799,1.4644881174737077
mel_M_rep2,M,14989937,1145212,86163,9100,7.639872002130496,0.5748056179288813,0.060707393,439.3451504832876,341,80,7664,179,572,13844725,1059049,77063,92.360128,7.065066384201615,0.5140982246956742,0.060707393,38.65683358108844,43.55775477908946,2.754334457843285,2.057053341851937
mel_M_rep3,M,5705472,201003,9511,844,3.522986354152645,0.1666996174900166,0.014792816,339.7223763432719,253,80,8178,155,424,5504469,191492,8667,96.47701364584736,3.356286736662628,0.1519068010499394,0.014792816,40.92164505,43.01514405819536,2.401256197559115,1.2849418943778883
mel_F_rep4,F,25844534,5867987,703902,122862,22.70494410926504,2.723601052354049,0.4753887224277288,726.0209714750515,568,80,14293,362,931,19976547,5164085,581040,77.29505589073497,19.981343056910987,2.24821233,0.4753887224277288,58.96067617237749,25.35512151234764,2.434824323,4.225562743750768
mel_F_rep5,F,27768658,6736478,896137,153120,24.25928541451301,3.227152712961498,0.5514130355165165,757.7961858,589,80,11815,385,975,21032180,5840341,743017,75.74071458548698,21.03213270155151,2.675739677444981,0.5514130355165165,60.32107853393563,24.47646911852924,2.42044106,4.266057797967767
mel_F_rep6,F,18877331,4245547,499985,82295,22.490186774814724,2.6486000589807954,0.4359461620925119,720.0260451543706,566,80,11124,355,925,14631784,3745562,417690,77.50981322518527,19.841586715833927,2.212653896888284,0.4359461620925119,57.77303475793267,26.936811141363155,2.386047052944084,3.863263297126061
mel_M_rep4,M,22734347,4461397,726653,141968,19.62403846479514,3.196278300845852,0.6244648240831373,686.510356,540,80,11900,332,863,18272950,3734744,584685,80.37596153520487,16.427760163949287,2.5718134767627148,0.6244648240831373,55.79280548502229,27.51844598835409,2.6800241942291105,4.128955188376424
mel_M_rep5,M,11829928,2933629,522492,104952,24.79836733,4.416696365354041,0.8871736159340954,773.7015029170085,594,80,12150,376,995,8896299,2411137,417540,75.20163267,20.381670961987258,3.5295227494199457,0.8871736159340954,57.47862539822728,24.81603438330309,2.755790229661584,4.755295214
mel_M_rep6,M,26622638,5769400,980875,192090,21.6710305,3.684364411971496,0.7215287981604227,720.3588964399396,563,80,12783,350,911,20853238,4788525,788785,78.3289695,17.986666084705803,2.962835613811073,0.7215287981604227,56.68701952075524,26.577508960607133,2.710997309883416,4.152281978968425
