geneID,jxnHash,figurePos
FBgn0264270,17e4d36fc70a89c0bcb5e734431df8439a4bc05e3c4c60de2fbedcd82b4cf64f,1-1
FBgn0264270,b34aef22cd820cc216db16d850741a2699297c1f01a5dd947f99940d2f0c82d4,1-2
FBgn0264270,d64d2d50ad1bea5f2593b69502742f91f3e3b87103ffb30c9190de5f9a7f9ce2,1-3
FBgn0264270,6685cc7b039d549d6d912d47f09c7e13913327fbf45c30f2db5d65f0caec3afb,1-4
FBgn0264270,ba15a39d775b3ac834b8e404de456c7175766001060a2ac286e477d506b7096a,1-5
FBgn0264270,54255f4af1fa594b7144ebd5efcdae1c3aa76c904ec62683934df4b05151c1b2,1-6
FBgn0264270,0c70ddeea0d3ad0cb17186ca4f44c42b745a24a82fd061f60ca8f8b14ae6ba95,1-7
FBgn0264270,11c5ad19e3fb0332ee36439acceb3d57c0566a6c61477e0afb34a6e09a575da1,1-8
FBgn0264270,3020dfd63337e1af728f8175c2e2a14e09f5a2708dad11ea1526ddfcc3fa2cb6,2-1
FBgn0264270,e5a873a854498399394e05fcd4438f4cbd58e376a181c34e5eaed34908db321a,2-2
FBgn0264270,a5ab8bad904febcf39f56522f9baa1b945a978490fd618a7206b106f9cfb8877,3-1
FBgn0264270,acbe032ec9b461c9e3bb58dc3f55aa945ff7959e76ea6a41331f637f7d353ca1,3-2
FBgn0264270,56f9abd7e498841309020ad6e43cd5728d6a300f43ea61c18c65f5c9cb9e17be,3-3
FBgn0264270,611f0ddbc1cf70526daa39a10383c3b244dbc412e7da75b28730f53f62cb77a0,3-4
FBgn0264270,46238ce3a157b7984e2f92635db0dafc1ad46e500cf731e8e6c1781493676e05,3-5
FBgn0264270,a84126f26d3737937484a003b2f2e240d52c9a603a9d1e314c3f103997cf4e16,3-6
FBgn0264270,aef4508601b17d3471a461e5457e4f03bcfcd7865539f801aefa846c29d3aedd,3-7
FBgn0264270,d4c371fd96d765bc142dd7ebe04b89ee5a2f7332e9491613679fa1e0093136bb,3-8
